geography_type,geoid,name,acs_period,source_variable,duration,estimate_grandparents_in_duration,moe_grandparents_in_duration,denominator_responsible_grandparents,denominator_moe,percent_of_responsible_grandparents,percent_moe,percent_ci90_lower,percent_ci90_upper,precision_disposition,duration_reconciliation_status
Georgia place,1315026,"Centralhatchee town, Georgia",2020-2024,B10050_004,Less than six months,0,14,25,30,0,56.00000000000001,0,56.00000000000001,Unavailable MOE or zero percentage,Pass
Georgia place,1315172,"Chamblee city, Georgia",2020-2024,B10050_004,Less than six months,59,71,270,145,21.85185185185185,23.532509806702315,0,45.38436165855417,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1315508,"Chatsworth city, Georgia",2020-2024,B10050_004,Less than six months,0,14,51,71,0,27.450980392156865,0,27.450980392156865,Unavailable MOE or zero percentage,Pass
Georgia place,1315552,"Chattahoochee Hills city, Georgia",2020-2024,B10050_004,Less than six months,0,14,18,34,0,77.77777777777779,0,77.77777777777779,Unavailable MOE or zero percentage,Pass
Georgia place,1315585,"Chattanooga Valley CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1315648,"Chauncey city, Georgia",2020-2024,B10050_004,Less than six months,0,14,5,7,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1315844,"Cherry Log CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1315900,"Chester town, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1315984,"Chickamauga city, Georgia",2020-2024,B10050_004,Less than six months,8,14,10,17,80,33.22649545167224,46.77350454832776,100,Caregiver count MOE exceeds 50% of estimate,Pass
Georgia place,1316460,"Clarkesville city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1316544,"Clarkston city, Georgia",2020-2024,B10050_004,Less than six months,29,47,118,84,24.57627118644068,35.782612191606816,0,60.358883378047494,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1316600,"Claxton city, Georgia",2020-2024,B10050_004,Less than six months,10,16,16,20,62.5,62.421826110744306,0.07817388925569446,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1316656,"Clayton city, Georgia",2020-2024,B10050_004,Less than six months,5,8,7,9,71.42857142857143,68.02380943877125,3.4047619898001784,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1316796,"Clermont town, Georgia",2020-2024,B10050_004,Less than six months,0,14,8,12,0,175,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1316824,"Cleveland city, Georgia",2020-2024,B10050_004,Less than six months,0,14,37,57,0,37.83783783783784,0,37.83783783783784,Unavailable MOE or zero percentage,Pass
Georgia place,1316908,"Climax city, Georgia",2020-2024,B10050_004,Less than six months,0,14,9,14,0,155.55555555555557,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1317132,"Clyattville CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1317272,"Cobbtown city, Georgia",2020-2024,B10050_004,Less than six months,0,14,12,21,0,116.66666666666669,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1317328,"Cochran city, Georgia",2020-2024,B10050_004,Less than six months,0,14,59,65,0,23.728813559322035,0,23.728813559322035,Unavailable MOE or zero percentage,Pass
Georgia place,1317468,"Cogdell CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1317496,"Cohutta city, Georgia",2020-2024,B10050_004,Less than six months,0,14,13,16,0,107.6923076923077,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1317552,"Colbert city, Georgia",2020-2024,B10050_004,Less than six months,0,14,6,7,0,233.33333333333337,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1317580,"Coleman CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1317776,"College Park city, Georgia",2020-2024,B10050_004,Less than six months,67,106,144,134,46.52777777777778,59.531445457428546,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1317832,"Collins city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1318000,"Colquitt city, Georgia",2020-2024,B10050_004,Less than six months,9,13,19,23,47.368421052631575,37.32937513113135,10.039045921500223,84.69779618376293,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1319084,"Comer city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1319168,"Concord city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1319280,"Conley CDP, Georgia",2020-2024,B10050_004,Less than six months,0,20,78,107,0,25.64102564102564,0,25.64102564102564,Unavailable MOE or zero percentage,Pass
Georgia place,1319336,"Conyers city, Georgia",2020-2024,B10050_004,Less than six months,0,23,192,187,0,11.979166666666668,0,11.979166666666668,Unavailable MOE or zero percentage,Pass
Georgia place,1319392,"Coolidge city, Georgia",2020-2024,B10050_004,Less than six months,0,14,3,4,0,466.6666666666667,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1319616,"Cordele city, Georgia",2020-2024,B10050_004,Less than six months,10,22,180,183,5.555555555555555,10.83887164542294,0,16.394427200978495,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1319728,"Cornelia city, Georgia",2020-2024,B10050_004,Less than six months,0,14,13,22,0,107.6923076923077,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1319830,"Country Club Estates CDP, Georgia",2020-2024,B10050_004,Less than six months,91,109,91,109,100,169.39481131721686,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1320064,"Covington city, Georgia",2020-2024,B10050_004,Less than six months,0,23,56,61,0,41.07142857142857,0,41.07142857142857,Unavailable MOE or zero percentage,Pass
Georgia place,1320288,"Crawford city, Georgia",2020-2024,B10050_004,Less than six months,0,14,3,6,0,466.6666666666667,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1320316,"Crawfordville city, Georgia",2020-2024,B10050_004,Less than six months,0,14,6,10,0,233.33333333333337,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1320372,"Crescent CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1320550,"Crooked Creek CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1320848,"Culloden city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1320932,"Cumming city, Georgia",2020-2024,B10050_004,Less than six months,0,20,37,51,0,54.054054054054056,0,54.054054054054056,Unavailable MOE or zero percentage,Pass
Georgia place,1321017,"Cusseta-Chattahoochee County unified government, Georgia",2020-2024,B10050_004,Less than six months,0,20,87,45,0,22.988505747126435,0,22.988505747126435,Unavailable MOE or zero percentage,Pass
Georgia place,1321072,"Cuthbert city, Georgia",2020-2024,B10050_004,Less than six months,0,14,35,58,0,40,0,40,Unavailable MOE or zero percentage,Pass
Georgia place,1321184,"Dacula city, Georgia",2020-2024,B10050_004,Less than six months,0,20,106,126,0,18.867924528301888,0,18.867924528301888,Unavailable MOE or zero percentage,Pass
Georgia place,1321240,"Dahlonega city, Georgia",2020-2024,B10050_004,Less than six months,0,20,7,9,0,285.7142857142857,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1321268,"Daisy city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1321324,"Dallas city, Georgia",2020-2024,B10050_004,Less than six months,0,23,154,141,0,14.935064935064934,0,14.935064935064934,Unavailable MOE or zero percentage,Pass
Georgia place,1321380,"Dalton city, Georgia",2020-2024,B10050_004,Less than six months,20,39,291,204,6.872852233676976,12.506052456074682,0,19.378904689751657,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1321436,"Damascus city, Georgia",2020-2024,B10050_004,Less than six months,0,14,1,2,0,1400,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1321632,"Danielsville city, Georgia",2020-2024,B10050_004,Less than six months,1,4,5,7,20,74.93997598078079,0,94.9399759807808,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1321688,"Danville town, Georgia",2020-2024,B10050_004,Less than six months,2,5,17,19,11.76470588235294,26.30895765435344,0,38.07366353670638,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1321716,"Darien city, Georgia",2020-2024,B10050_004,Less than six months,0,14,20,25,0,70,0,70,Unavailable MOE or zero percentage,Pass
Georgia place,1321744,"Dasher town, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1321800,"Davisboro city, Georgia",2020-2024,B10050_004,Less than six months,0,14,14,18,0,100,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1321912,"Dawson city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1321940,"Dawsonville city, Georgia",2020-2024,B10050_004,Less than six months,0,14,26,42,0,53.84615384615385,0,53.84615384615385,Unavailable MOE or zero percentage,Pass
Georgia place,1322024,"Dearing town, Georgia",2020-2024,B10050_004,Less than six months,0,14,16,32,0,87.5,0,87.5,Unavailable MOE or zero percentage,Pass
Georgia place,1322052,"Decatur city, Georgia",2020-2024,B10050_004,Less than six months,0,27,0,27,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1322080,"Deenwood CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,14,17,0,100,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1322108,"Deepstep town, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1322304,"Demorest city, Georgia",2020-2024,B10050_004,Less than six months,0,14,15,27,0,93.33333333333331,0,93.33333333333331,Unavailable MOE or zero percentage,Pass
Georgia place,1322388,"Denton city, Georgia",2020-2024,B10050_004,Less than six months,0,14,56,74,0,25,0,25,Unavailable MOE or zero percentage,Pass
Georgia place,1322472,"De Soto city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1322724,"Dewy Rose CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1322752,"Dexter town, Georgia",2020-2024,B10050_004,Less than six months,3,5,28,35,10.714285714285714,11.811389781538352,0,22.525675495824068,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1322976,"Dillard city, Georgia",2020-2024,B10050_004,Less than six months,0,14,1,3,0,1400,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1323060,"Dixie CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1323144,"Dixie Union CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1323200,"Dock Junction CDP, Georgia",2020-2024,B10050_004,Less than six months,0,20,112,89,0,17.857142857142858,0,17.857142857142858,Unavailable MOE or zero percentage,Pass
Georgia place,1323284,"Doerun city, Georgia",2020-2024,B10050_004,Less than six months,6,7,16,13,37.5,31.396142652203313,6.103857347796687,68.89614265220331,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1323368,"Donalsonville city, Georgia",2020-2024,B10050_004,Less than six months,0,14,189,139,0,7.4074074074074066,0,7.4074074074074066,Unavailable MOE or zero percentage,Pass
Georgia place,1323480,"Dooling town, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1323536,"Doraville city, Georgia",2020-2024,B10050_004,Less than six months,0,23,33,57,0,69.6969696969697,0,69.6969696969697,Unavailable MOE or zero percentage,Pass
Georgia place,1323872,"Douglas city, Georgia",2020-2024,B10050_004,Less than six months,0,23,272,157,0,8.455882352941178,0,8.455882352941178,Unavailable MOE or zero percentage,Pass
Georgia place,1323900,"Douglasville city, Georgia",2020-2024,B10050_004,Less than six months,64,64,113,88,56.63716814159292,35.52966560578358,21.107502535809346,92.1668337473765,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1324264,"Druid Hills CDP, Georgia",2020-2024,B10050_004,Less than six months,0,20,0,20,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1324376,"Dublin city, Georgia",2020-2024,B10050_004,Less than six months,10,17,57,48,17.543859649122805,25.90829962506066,0,43.452159274183465,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1324488,"Dudley city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1324600,"Duluth city, Georgia",2020-2024,B10050_004,Less than six months,60,48,225,103,26.666666666666668,17.49543699084667,9.171229675819998,44.16210365751334,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1324768,"Dunwoody city, Georgia",2020-2024,B10050_004,Less than six months,0,34,48,60,0,70.83333333333334,0,70.83333333333334,Unavailable MOE or zero percentage,Pass
Georgia place,1324796,"Du Pont town, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1324876,"Dutch Island CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1324964,"Eagle Grove CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1325300,"East Dublin city, Georgia",2020-2024,B10050_004,Less than six months,0,14,5,7,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1325356,"East Ellijay city, Georgia",2020-2024,B10050_004,Less than six months,0,14,8,19,0,175,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1325440,"East Griffin CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,19,22,0,73.68421052631578,0,73.68421052631578,Unavailable MOE or zero percentage,Pass
Georgia place,1325552,"Eastman city, Georgia",2020-2024,B10050_004,Less than six months,0,20,11,17,0,181.8181818181818,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1325692,"East Newnan CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1325720,"East Point city, Georgia",2020-2024,B10050_004,Less than six months,0,30,377,189,0,7.957559681697612,0,7.957559681697612,Unavailable MOE or zero percentage,Pass
Georgia place,1326084,"Eatonton city, Georgia",2020-2024,B10050_004,Less than six months,0,20,51,39,0,39.21568627450981,0,39.21568627450981,Unavailable MOE or zero percentage,Pass
Georgia place,1326156,"Echols County consolidated government, Georgia",2020-2024,B10050_004,Less than six months,0,14,162,148,0,8.641975308641975,0,8.641975308641975,Unavailable MOE or zero percentage,Pass
Georgia place,1326224,"Edge Hill city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1326448,"Edison city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1326616,"Elberton city, Georgia",2020-2024,B10050_004,Less than six months,0,14,22,31,0,63.63636363636363,0,63.63636363636363,Unavailable MOE or zero percentage,Pass
Georgia place,1326980,"Ellaville city, Georgia",2020-2024,B10050_004,Less than six months,0,14,4,6,0,350,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1327008,"Ellenton town, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1327064,"Ellerslie CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1327092,"Ellijay city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1327344,"Emerson city, Georgia",2020-2024,B10050_004,Less than six months,0,14,32,46,0,43.75,0,43.75,Unavailable MOE or zero percentage,Pass
Georgia place,1327512,"Empire CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1327596,"Enigma town, Georgia",2020-2024,B10050_004,Less than six months,0,14,5,8,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1327708,"Ephesus city, Georgia",2020-2024,B10050_004,Less than six months,0,14,7,8,0,200,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1327736,"Epworth CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1327932,"Eton city, Georgia",2020-2024,B10050_004,Less than six months,2,4,2,4,100,282.842712474619,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1327988,"Euharlee city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1328016,"Eulonia CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,72,36,0,19.444444444444446,0,19.444444444444446,Unavailable MOE or zero percentage,Pass
Georgia place,1328044,"Evans CDP, Georgia",2020-2024,B10050_004,Less than six months,18,30,173,162,10.404624277456648,14.345190622053,0,24.749814899509648,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1328100,"Everett CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1328296,"Experiment CDP, Georgia",2020-2024,B10050_004,Less than six months,27,43,49,53,55.10204081632652,64.41100896410485,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1328324,"Faceville CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1328380,"Fairburn city, Georgia",2020-2024,B10050_004,Less than six months,0,23,194,211,0,11.855670103092782,0,11.855670103092782,Unavailable MOE or zero percentage,Pass
Georgia place,1328440,"Fairfield Plantation CDP, Georgia",2020-2024,B10050_004,Less than six months,35,54,59,68,59.32203389830508,60.846429490002286,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1328492,"Fairmount city, Georgia",2020-2024,B10050_004,Less than six months,0,14,14,14,0,100,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1328520,"Fair Oaks CDP, Georgia",2020-2024,B10050_004,Less than six months,0,20,35,44,0,57.14285714285714,0,57.14285714285714,Unavailable MOE or zero percentage,Pass
Georgia place,1328548,"Fairplay CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,6,10,0,233.33333333333337,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1328632,"Fairview CDP, Georgia",2020-2024,B10050_004,Less than six months,0,20,124,112,0,16.129032258064516,0,16.129032258064516,Unavailable MOE or zero percentage,Pass
Georgia place,1328744,"Fargo city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1328968,"Fayetteville city, Georgia",2020-2024,B10050_004,Less than six months,48,34,138,100,34.78260869565217,35.246229825408456,0,70.028838521060635,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1329528,"Fitzgerald city, Georgia",2020-2024,B10050_004,Less than six months,0,20,26,27,0,76.92307692307693,0,76.92307692307693,Unavailable MOE or zero percentage,Pass
Georgia place,1330088,"Flemington city, Georgia",2020-2024,B10050_004,Less than six months,0,14,10,10,0,140,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1330312,"Flovilla city, Georgia",2020-2024,B10050_004,Less than six months,0,14,48,80,0,29.166666666666668,0,29.166666666666668,Unavailable MOE or zero percentage,Pass
Georgia place,1330340,"Flowery Branch city, Georgia",2020-2024,B10050_004,Less than six months,0,23,0,23,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1330424,"Folkston city, Georgia",2020-2024,B10050_004,Less than six months,0,14,59,65,0,23.728813559322035,0,23.728813559322035,Unavailable MOE or zero percentage,Pass
Georgia place,1330536,"Forest Park city, Georgia",2020-2024,B10050_004,Less than six months,0,23,105,88,0,21.904761904761905,0,21.904761904761905,Unavailable MOE or zero percentage,Pass
Georgia place,1330732,"Forsyth city, Georgia",2020-2024,B10050_004,Less than six months,8,13,8,13,100,229.80970388562793,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1330816,"Fort Gaines city, Georgia",2020-2024,B10050_004,Less than six months,12,18,22,22,54.54545454545454,60.983672113630625,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1330956,"Fort Oglethorpe city, Georgia",2020-2024,B10050_004,Less than six months,0,23,15,24,0,153.33333333333334,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1331068,"Fort Stewart CDP, Georgia",2020-2024,B10050_004,Less than six months,0,20,0,20,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1331096,"Fort Valley city, Georgia",2020-2024,B10050_004,Less than six months,20,35,87,84,22.988505747126435,33.55279681218183,0,56.541302559308264,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1331292,"Franklin city, Georgia",2020-2024,B10050_004,Less than six months,0,14,21,25,0,66.66666666666666,0,66.66666666666666,Unavailable MOE or zero percentage,Pass
Georgia place,1331320,"Franklin Springs city, Georgia",2020-2024,B10050_004,Less than six months,0,14,18,31,0,77.77777777777779,0,77.77777777777779,Unavailable MOE or zero percentage,Pass
Georgia place,1331684,"Funston city, Georgia",2020-2024,B10050_004,Less than six months,3,4,3,4,100,188.56180831641268,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1331908,"Gainesville city, Georgia",2020-2024,B10050_004,Less than six months,0,30,163,103,0,18.404907975460123,0,18.404907975460123,Unavailable MOE or zero percentage,Pass
Georgia place,1332048,"Garden City city, Georgia",2020-2024,B10050_004,Less than six months,0,23,183,176,0,12.568306010928962,0,12.568306010928962,Unavailable MOE or zero percentage,Pass
Georgia place,1332132,"Gardi CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,5,11,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1332188,"Garfield city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1332384,"Gay town, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1332412,"Geneva town, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1332482,"Georgetown CDP, Georgia",2020-2024,B10050_004,Less than six months,0,23,102,130,0,22.54901960784314,0,22.54901960784314,Unavailable MOE or zero percentage,Pass
Georgia place,1332528,"Georgetown-Quitman County unified government, Georgia",2020-2024,B10050_004,Less than six months,17,19,42,34,40.476190476190474,31.190474129794826,9.285716346395647,71.6666646059853,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1332748,"Gibson city, Georgia",2020-2024,B10050_004,Less than six months,0,14,60,48,0,23.333333333333332,0,23.333333333333332,Unavailable MOE or zero percentage,Pass
Georgia place,1332860,"Gillsville city, Georgia",2020-2024,B10050_004,Less than six months,0,14,1,3,0,1400,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1332916,"Girard town, Georgia",2020-2024,B10050_004,Less than six months,0,14,2,4,0,700,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1333280,"Glenn CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1333336,"Glennville city, Georgia",2020-2024,B10050_004,Less than six months,0,20,107,103,0,18.69158878504673,0,18.69158878504673,Unavailable MOE or zero percentage,Pass
Georgia place,1333392,"Glenwood city, Georgia",2020-2024,B10050_004,Less than six months,0,14,18,29,0,77.77777777777779,0,77.77777777777779,Unavailable MOE or zero percentage,Pass
Georgia place,1333672,"Godfrey CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1333896,"Good Hope city, Georgia",2020-2024,B10050_004,Less than six months,0,14,12,20,0,116.66666666666669,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1333980,"Gordon city, Georgia",2020-2024,B10050_004,Less than six months,0,14,50,42,0,28.000000000000004,0,28.000000000000004,Unavailable MOE or zero percentage,Pass
Georgia place,1334176,"Gough CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1334260,"Graham city, Georgia",2020-2024,B10050_004,Less than six months,0,14,18,34,0,77.77777777777779,0,77.77777777777779,Unavailable MOE or zero percentage,Pass
Georgia place,1334428,"Grantville city, Georgia",2020-2024,B10050_004,Less than six months,0,14,31,33,0,45.16129032258064,0,45.16129032258064,Unavailable MOE or zero percentage,Pass
Georgia place,1334512,"Gray city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1334596,"Grayson city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1334876,"Greensboro city, Georgia",2020-2024,B10050_004,Less than six months,0,14,58,94,0,24.13793103448276,0,24.13793103448276,Unavailable MOE or zero percentage,Pass
Georgia place,1335016,"Greenville city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1335240,"Gresham Park CDP, Georgia",2020-2024,B10050_004,Less than six months,0,20,18,28,0,111.11111111111111,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1335324,"Griffin city, Georgia",2020-2024,B10050_004,Less than six months,8,13,289,162,2.768166089965398,4.222160811352453,0,6.990326901317852,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1335716,"Grovetown city, Georgia",2020-2024,B10050_004,Less than six months,9,19,96,114,9.375,16.363696259839593,0,25.738696259839593,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1335800,"Gumbranch city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1335814,"Gumlog CDP, Georgia",2020-2024,B10050_004,Less than six months,0,14,22,30,0,63.63636363636363,0,63.63636363636363,Unavailable MOE or zero percentage,Pass
Georgia place,1335884,"Guyton city, Georgia",2020-2024,B10050_004,Less than six months,0,14,31,26,0,45.16129032258064,0,45.16129032258064,Unavailable MOE or zero percentage,Pass
Georgia place,1336024,"Hagan city, Georgia",2020-2024,B10050_004,Less than six months,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
